
[2023-12-06 12:02:58.957]    21807.6250,    3785.0000,    2009.8750,    1309.3750,    8989.2500,    6658.6250,    1788.8750,    1570.6875,    2235.6875,   23334.0625,    2012.7500,    1963.7500,    1984.8750,    2218.6875,
[2023-12-06 12:03:06.588] magnitudes:    26851.1875,    4269.8750,     700.1875,     788.2500,    6778.5625,    4302.0625,    1660.0625,     723.5000,    3114.6875,   28401.2500,    2816.9375,    1779.7500,    2270.6250,    1160.8125,    4968.8125,    3409.6250,    1556.3125,    1837.2500,   21642.0000,    3760.6875,    2009.8750,    1311.1875,    9014.0625,    6682.1875,    1782.3125,    1570.6875,    2231.2500,   23241.3750,    2012.7500,    1963.7500,    1984.2500,    2215.0625,
[2023-12-06 12:03:07.886] magnitudes:    26472.3750,    4214.7500,     842.0625,     782.3750,    6712.8750,    4230.3750,    1648.3750,     731.3750,    3098.4375,   28413.8750,    2798.5000,    1653.1250,    2257.3750,    1157.9375,    4952.5625,    3409.6250,    1546.5625,    1827.0000,   21651.1875,    3773.2500,    2016.5000,    1309.3125,    9078.8125,    6655.2500,    1776.2500,    1566.5000,    2231.2500,   23529.8750,    2019.5625,    1963.7500,    1984.2500,    2211.8125,
[2023-12-06 12:03:09.199] magnitudes:    26631.3125,    4214.7500,     692.6250,     779.2500,    6693.0000,    4245.1875,    1648.3750,     731.3750,    2978.4375,   28220.4375,    2789.5000,    1775.1875,    2257.3750,    1157.9375,    4952.5625,    3398.0625,    1542.0625,    1832.6875,   21711.0000,    3785.0000,    2009.8750,    1311.1875,    8989.2500,    6682.1875,    1782.6875,    1570.6875,    2225.8750,   23334.0625,    2012.7500,    1963.7500,    1984.2500,    2218.6875,
[2023-12-06 12:03:10.495] magnitudes:    26472.3750,    4214.7500,     692.6250,     779.6875,    6647.0000,    4384.4375,    1648.3750,     719.8750,    3098.4375,   28413.8750,    2789.5000,    1769.5000,    2250.0000,    1231.6250,    4952.5625,    3479.9375,    1546.5625,    1831.5000,   21747.5625,    3760.6875,    2016.5000,    1311.1875,    9014.0625,    6655.2500,    1788.8750,    1575.5000,    2235.6875,   23529.8750,    2012.7500,    1963.7500,    1990.1250,    2215.4375,
[2023-12-06 12:03:11.808] magnitudes:    26560.6250,    4214.7500,     689.9375,     779.2500,    6693.0000,    4245.1875,    1648.3750,     721.6875,    3089.3125,   28413.8750,    2798.5000,    1775.1875,    2257.3750,    1231.6250,    4952.5625,    3398.0625,    1542.0625,    1832.6875,   21907.4375,    3785.0000,    2009.8750,    1311.1875,    9014.0625,    6682.1875,    1782.3125,    1570.6875,    2235.6875,   23447.6250,    2012.7500,    1963.7500,    1984.2500,    2211.8125,
[2023-12-06 12:03:13.105] magnitudes:    26472.3750,    4214.7500,     844.9375,     782.3750,    6693.0000,    4230.3750,    1653.9375,     719.8750,    3098.4375,   28413.8750,    2798.5000,    1775.1875,    2250.0000,    1215.0625,    4968.8125,    3491.1875,    1546.5625,    1827.0000,   21711.0000,    3797.6250,    2022.6875,    1311.1875,    8895.5625,    6655.2500,    1782.6875,    1463.4375,    2241.1250,   23126.1250,    1898.5625,    1997.9375,    2024.2500,    2200.0000,
[2023-12-06 12:03:14.417] magnitudes:    26882.6250,    4272.5000,     700.1875,     863.5000,    6778.5625,    4288.0625,    1671.8750,     721.6875,    3134.3750,   28510.8750,    2807.9375,    1779.7500,    2233.3125,    1236.1875,    5010.5000,    3514.6875,    1475.4375,    1733.7500,   21940.5000,    3632.1875,    2048.7500,    1322.1875,    9049.5625,    6732.7500,    1876.1250,    1598.1250,    2260.0625,   23510.6875,    1891.5000,    1984.1875,    2006.7500,    2232.5625,
[2023-12-06 12:03:15.715] magnitudes:    26631.3125,    4227.7500,     695.0000,     860.5625,    6778.5625,    4288.0625,    1671.8750,     721.6875,    3134.3750,   28584.3750,    2845.3125,    1796.0625,    2254.0000,    1240.8750,    5032.4375,    3466.8125,    1571.3750,    1847.6250,   21840.8125,    3821.3750,    2035.6250,    1316.6250,    9038.8125,    6705.6250,    1795.0000,    1575.5000,    2235.6875,   23280.0000,    1878.1875,    1970.6875,    1995.4375,    2225.6250,
[2023-12-06 12:03:17.012] magnitudes:    26631.3125,    4259.0000,     697.7500,     785.0625,    6755.6250,    4444.4375,    1671.8750,     731.3750,    3114.6875,   28487.0625,    2816.9375,    1775.1875,    2264.0000,    1178.3125,    4983.9375,    3491.1875,    1466.2500,    1718.5625,   21711.0000,    3785.0000,    2022.6875,    1314.8125,    8947.0000,    6682.1875,    1638.9375,    1588.8750,    2255.5625,   23374.2500,    1891.5000,    1984.1875,    2012.7500,    2239.5625,
[2023-12-06 12:03:18.324] magnitudes:    26631.3125,    4243.3125,     689.9375,     857.0625,    6735.3750,    4259.0000,    1653.9375,     729.5000,    3098.4375,   28499.1875,    2798.5000,    1775.1875,    2219.4375,    1234.6875,    4983.9375,    3503.1875,    1470.5625,    1722.8125,   21840.8125,    3809.4375,    2028.8750,    1316.6250,    9091.3750,    6705.6250,    1788.8750,    1575.5000,    2245.5625,   23415.9375,    2012.7500,    1963.7500,    1984.2500,    2215.4375,
[2023-12-06 12:03:19.621] magnitudes:    26560.6250,    4214.7500,     692.6250,     782.3750,    6735.3750,    4259.0000,    1660.0625,     731.3750,    3105.5000,   28304.6250,    2807.9375,    1785.5625,    2271.5000,    1160.8125,    4983.9375,    3420.6250,    1551.7500,    1837.2500,   21651.1875,    3785.0000,    2016.0000,    1312.9375,    8989.2500,    6682.1875,    1782.3125,    1574.8125,    2235.6875,   23106.5000,    1878.1875,    1970.6875,    1995.4375,    2225.6250,
[2023-12-06 12:03:20.935] magnitudes:    26631.3125,    4227.7500,     695.0000,     782.3750,    6712.8750,    4259.0000,    1654.4375,     720.8125,    3098.4375,   28304.6250,    2798.5000,    1775.1875,    2257.3750,    1159.3750,    4952.5625,    3479.9375,    1546.5625,    1832.6875,   21711.0000,    3796.6875,    2016.0000,    1312.9375,    9038.8125,    6682.1875,    1795.3750,    1463.4375,    2245.5625,   23415.9375,    2026.4375,    1970.6875,    1990.1250,    2225.6250,
[2023-12-06 12:03:22.233] magnitudes:    26631.3125,    4227.7500,     689.9375,     779.6875,    6715.3125,    4259.0000,    1648.3750,     719.8750,    3098.4375,   28329.3750,    2798.5000,    1779.7500,    2225.9375,    1234.6875,    4983.9375,    3503.1875,    1556.3125,    1837.2500,   21779.8750,    3785.0000,    2022.6875,    1312.9375,    9014.0625,    6748.0625,    1782.6875,    1455.0625,    2235.6875,   23447.6250,    2012.1250,    1957.3125,    1979.0000,    2211.8125,
[2023-12-06 12:03:23.545] magnitudes:    26631.3125,    4227.7500,     692.6250,     779.6875,    6715.3125,    4259.0000,    1660.0625,     719.8750,    3098.4375,   28510.8750,    2816.9375,    1779.7500,    2264.0000,    1175.3750,    4952.5625,    3479.9375,    1546.5625,    1832.6875,   21678.8125,    3760.6875,    2009.8750,    1307.5625,    9014.0625,    6682.1875,    1782.3125,    1575.5000,    2235.6875,   23334.0625,    2019.5625,    1970.6875,    1990.1250,    2225.6250,
[2023-12-06 12:03:24.842] magnitudes:    26560.6250,    4214.7500,     848.2500,     782.3750,    6693.0000,    4245.1875,    1648.3750,     719.8750,    3098.4375,   28234.2500,    2789.1250,    1775.1875,    2257.3750,    1175.3750,    4952.5625,    3398.0625,    1546.5625,    1832.6875,   21711.0000,    3785.0000,    2016.0000,    1311.1875,    9014.0625,    6682.1875,    1782.6875,    1570.6875,    2235.6875,   23354.5000,    2012.1250,    1963.7500,    1990.1250,    2215.0625,
[2023-12-06 12:03:26.155] magnitudes:    26472.3750,    4199.3125,     687.5625,     776.6250,    6712.8750,    4245.1875,    1648.3750,     719.8750,    3091.4375,   28413.8750,    2807.9375,    1775.1875,    2264.0000,    1215.0625,    4968.8125,    3420.6250,    1556.3125,    1837.2500,   21711.0000,    3760.6875,    2016.5000,    1309.3125,    9014.0625,    6830.6875,    1776.2500,    1566.5000,    2231.2500,   23447.6250,    2005.3125,    1963.7500,    1984.2500,    2215.4375,
[2023-12-06 12:03:27.450] magnitudes:    26542.3125,    4214.7500,     848.2500,     782.3750,    6693.0000,    4259.0000,    1654.4375,     721.6875,    3098.4375,   28220.4375,    2798.5000,    1775.1875,    2271.5000,    1159.3750,    4952.5625,    3468.1250,    1542.0625,    1832.6875,   21747.5625,    3773.2500,    2009.8750,    1309.3125,    8986.8750,    6682.1875,    1627.3750,    1584.6250,    2250.0625,   23415.9375,    1884.5000,    1977.2500,    2001.3750,    2232.5625,
